Day,Month,Year,Deliveries Fulfilled,Deliveries Available,Delivery Completion Ratio,Deliveries Value,Available Value,Monetary Value Ratio,Moves Remaining
1,1,2022,4,4,1.0,3510,3510,1.0,1216
2,1,2022,4,4,1.0,3305,3305,1.0,1277
3,1,2022,4,4,1.0,3900,3900,1.0,1258
4,1,2022,4,4,1.0,3715,3715,1.0,1249
5,1,2022,4,4,1.0,3320,3320,1.0,1294
6,1,2022,4,4,1.0,3095,3095,1.0,1142
7,1,2022,4,4,1.0,2155,2155,1.0,1250
8,1,2022,4,4,1.0,3035,3035,1.0,1303
9,1,2022,4,4,1.0,2512,2512,1.0,1218
10,1,2022,4,4,1.0,4220,4220,1.0,1315
11,1,2022,4,4,1.0,2720,2720,1.0,1212
12,1,2022,4,4,1.0,3120,3120,1.0,1273
13,1,2022,4,4,1.0,2842,2842,1.0,1206
14,1,2022,4,4,1.0,2375,2375,1.0,1240
15,1,2022,4,4,1.0,2165,2165,1.0,1212
16,1,2022,4,4,1.0,4080,4080,1.0,1249
17,1,2022,4,4,1.0,3275,3275,1.0,1281
18,1,2022,4,4,1.0,2522,2522,1.0,1196
19,1,2022,4,4,1.0,4715,4715,1.0,1192
20,1,2022,4,4,1.0,2720,2720,1.0,1270
21,1,2022,4,4,1.0,2540,2540,1.0,1207
22,1,2022,4,4,1.0,2485,2485,1.0,1241
23,1,2022,4,4,1.0,3360,3360,1.0,1279
24,1,2022,4,4,1.0,3265,3265,1.0,1259
25,1,2022,4,4,1.0,4590,4590,1.0,1335
26,1,2022,4,4,1.0,3900,3900,1.0,1291
27,1,2022,4,4,1.0,2690,2690,1.0,1263
28,1,2022,4,4,1.0,3120,3120,1.0,1180
29,1,2022,4,4,1.0,2640,2640,1.0,1312
30,1,2022,4,4,1.0,3360,3360,1.0,1277
31,1,2022,4,4,1.0,3645,3645,1.0,1308
1,2,2022,5,5,1.0,3780,3780,1.0,1244
2,2,2022,5,5,1.0,4420,4420,1.0,1163
3,2,2022,5,5,1.0,3465,3465,1.0,1145
4,2,2022,5,5,1.0,3830,3830,1.0,1034
5,2,2022,5,5,1.0,4850,4850,1.0,1159
6,2,2022,5,5,1.0,4142,4142,1.0,1213
7,2,2022,5,5,1.0,3225,3225,1.0,1086
8,2,2022,5,5,1.0,4090,4090,1.0,1181
9,2,2022,5,5,1.0,3720,3720,1.0,1111
10,2,2022,5,5,1.0,3690,3690,1.0,1156
11,2,2022,5,5,1.0,4807,4807,1.0,1070
12,2,2022,5,5,1.0,3050,3050,1.0,1210
13,2,2022,5,5,1.0,3765,3765,1.0,1141
14,2,2022,5,5,1.0,5470,5470,1.0,1138
15,2,2022,5,5,1.0,4275,4275,1.0,1147
16,2,2022,5,5,1.0,4665,4665,1.0,1134
17,2,2022,5,5,1.0,4740,4740,1.0,1206
18,2,2022,5,5,1.0,4100,4100,1.0,1208
19,2,2022,5,5,1.0,3450,3450,1.0,1100
20,2,2022,5,5,1.0,4085,4085,1.0,1184
21,2,2022,5,5,1.0,4085,4085,1.0,1125
22,2,2022,5,5,1.0,5310,5310,1.0,1163
23,2,2022,5,5,1.0,5057,5057,1.0,1155
24,2,2022,5,5,1.0,3770,3770,1.0,1147
25,2,2022,5,5,1.0,2532,2532,1.0,1190
26,2,2022,5,5,1.0,3685,3685,1.0,1162
27,2,2022,5,5,1.0,3565,3565,1.0,1064
28,2,2022,5,5,1.0,5340,5340,1.0,1160
1,3,2022,6,6,1.0,4825,4825,1.0,1193
2,3,2022,6,6,1.0,6220,6220,1.0,1024
3,3,2022,6,6,1.0,4230,4230,1.0,1213
4,3,2022,6,6,1.0,5655,5655,1.0,1196
5,3,2022,6,6,1.0,5970,5970,1.0,999
6,3,2022,6,6,1.0,5160,5160,1.0,1048
7,3,2022,6,6,1.0,4900,4900,1.0,1033
8,3,2022,6,6,1.0,5445,5445,1.0,1062
9,3,2022,6,6,1.0,4295,4295,1.0,1022
10,3,2022,6,6,1.0,5390,5390,1.0,1046
11,3,2022,6,6,1.0,5030,5030,1.0,1148
12,3,2022,6,6,1.0,3815,3815,1.0,1052
13,3,2022,6,6,1.0,4185,4185,1.0,1097
14,3,2022,6,6,1.0,4505,4505,1.0,1068
15,3,2022,6,6,1.0,4380,4380,1.0,1166
16,3,2022,6,6,1.0,5137,5137,1.0,1111
17,3,2022,6,6,1.0,4410,4410,1.0,1088
18,3,2022,6,6,1.0,4030,4030,1.0,986
19,3,2022,6,6,1.0,5245,5245,1.0,1002
20,3,2022,6,6,1.0,5330,5330,1.0,1104
21,3,2022,6,6,1.0,5120,5120,1.0,973
22,3,2022,6,6,1.0,5305,5305,1.0,1132
23,3,2022,6,6,1.0,5265,5265,1.0,1106
24,3,2022,6,6,1.0,4597,4597,1.0,1090
25,3,2022,6,6,1.0,3470,3470,1.0,1018
26,3,2022,6,6,1.0,4745,4745,1.0,1202
27,3,2022,6,6,1.0,4595,4595,1.0,1048
28,3,2022,6,6,1.0,4795,4795,1.0,1042
29,3,2022,6,6,1.0,4825,4825,1.0,1048
30,3,2022,6,6,1.0,4750,4750,1.0,1062
31,3,2022,6,6,1.0,5075,5075,1.0,1061
1,4,2022,7,7,1.0,6090,6090,1.0,995
2,4,2022,7,7,1.0,5940,5940,1.0,1160
3,4,2022,7,7,1.0,5875,5875,1.0,1083
4,4,2022,7,7,1.0,4545,4545,1.0,1175
5,4,2022,7,7,1.0,7450,7450,1.0,984
6,4,2022,7,7,1.0,6827,6827,1.0,1001
7,4,2022,7,7,1.0,4457,4457,1.0,1018
8,4,2022,7,7,1.0,5572,5572,1.0,945
9,4,2022,7,7,1.0,6705,6705,1.0,1122
10,4,2022,7,7,1.0,5225,5225,1.0,1124
11,4,2022,7,7,1.0,4470,4470,1.0,1129
12,4,2022,7,7,1.0,6275,6275,1.0,1054
13,4,2022,7,7,1.0,5360,5360,1.0,1150
14,4,2022,7,7,1.0,5560,5560,1.0,1063
15,4,2022,7,7,1.0,6780,6780,1.0,965
16,4,2022,7,7,1.0,4522,4522,1.0,1055
17,4,2022,7,7,1.0,6450,6450,1.0,1087
18,4,2022,7,7,1.0,3925,3925,1.0,996
19,4,2022,7,7,1.0,4465,4465,1.0,1058
20,4,2022,7,7,1.0,4425,4425,1.0,1070
21,4,2022,7,7,1.0,5777,5777,1.0,969
22,4,2022,7,7,1.0,4775,4775,1.0,910
23,4,2022,7,7,1.0,6265,6265,1.0,902
24,4,2022,7,7,1.0,4875,4875,1.0,1045
25,4,2022,7,7,1.0,5575,5575,1.0,932
26,4,2022,7,7,1.0,4455,4455,1.0,992
27,4,2022,7,7,1.0,5920,5920,1.0,1099
28,4,2022,7,7,1.0,5487,5487,1.0,1106
29,4,2022,7,7,1.0,6040,6040,1.0,896
30,4,2022,7,7,1.0,7600,7600,1.0,1141
1,5,2022,8,8,1.0,5675,5675,1.0,862
2,5,2022,8,8,1.0,5445,5445,1.0,1018
3,5,2022,8,8,1.0,6990,6990,1.0,967
4,5,2022,8,8,1.0,5212,5212,1.0,1033
5,5,2022,8,8,1.0,5770,5770,1.0,962
6,5,2022,8,8,1.0,8295,8295,1.0,927
7,5,2022,8,8,1.0,7205,7205,1.0,928
8,5,2022,8,8,1.0,5970,5970,1.0,934
9,5,2022,8,8,1.0,7460,7460,1.0,906
10,5,2022,8,8,1.0,6920,6920,1.0,952
11,5,2022,8,8,1.0,7375,7375,1.0,963
12,5,2022,8,8,1.0,6955,6955,1.0,958
13,5,2022,8,8,1.0,6535,6535,1.0,930
14,5,2022,8,8,1.0,7955,7955,1.0,1027
15,5,2022,8,8,1.0,6890,6890,1.0,937
16,5,2022,8,8,1.0,7025,7025,1.0,1011
17,5,2022,8,8,1.0,5120,5120,1.0,866
18,5,2022,8,8,1.0,5345,5345,1.0,1032
19,5,2022,8,8,1.0,6625,6625,1.0,970
20,5,2022,8,8,1.0,5510,5510,1.0,992
21,5,2022,8,8,1.0,5495,5495,1.0,1013
22,5,2022,8,8,1.0,7780,7780,1.0,871
23,5,2022,8,8,1.0,5280,5280,1.0,1001
24,5,2022,8,8,1.0,7460,7460,1.0,911
25,5,2022,8,8,1.0,6620,6620,1.0,980
26,5,2022,8,8,1.0,6015,6015,1.0,1013
27,5,2022,8,8,1.0,6570,6570,1.0,971
28,5,2022,8,8,1.0,6285,6285,1.0,1094
29,5,2022,8,8,1.0,6557,6557,1.0,1025
30,5,2022,8,8,1.0,5955,5955,1.0,929
31,5,2022,8,8,1.0,6785,6785,1.0,947
1,6,2022,9,9,1.0,6000,6000,1.0,903
2,6,2022,9,9,1.0,7450,7450,1.0,911
3,6,2022,9,9,1.0,8305,8305,1.0,888
4,6,2022,9,9,1.0,7055,7055,1.0,751
5,6,2022,9,9,1.0,7160,7160,1.0,732
6,6,2022,9,9,1.0,6740,6740,1.0,983
7,6,2022,9,9,1.0,6780,6780,1.0,974
8,6,2022,9,9,1.0,5715,5715,1.0,963
