Day,Month,Year,Deliveries Fulfilled,Deliveries Available,Delivery Completion Ratio,Deliveries Value,Available Value,Monetary Value Ratio,Moves Remaining
1,1,2022,4,4,1.0,3510,3510,1.0,1215
2,1,2022,4,4,1.0,3305,3305,1.0,1277
3,1,2022,4,4,1.0,3900,3900,1.0,1258
4,1,2022,4,4,1.0,3715,3715,1.0,1249
5,1,2022,4,4,1.0,3320,3320,1.0,1296
6,1,2022,4,4,1.0,3095,3095,1.0,1149
7,1,2022,4,4,1.0,2155,2155,1.0,1250
8,1,2022,4,4,1.0,3035,3035,1.0,1297
9,1,2022,4,4,1.0,2512,2512,1.0,1218
10,1,2022,4,4,1.0,4220,4220,1.0,1315
11,1,2022,4,4,1.0,2720,2720,1.0,1212
12,1,2022,4,4,1.0,3120,3120,1.0,1273
13,1,2022,4,4,1.0,2842,2842,1.0,1206
14,1,2022,4,4,1.0,2375,2375,1.0,1240
15,1,2022,4,4,1.0,2165,2165,1.0,1225
16,1,2022,4,4,1.0,4080,4080,1.0,1248
17,1,2022,4,4,1.0,3275,3275,1.0,1281
18,1,2022,4,4,1.0,2522,2522,1.0,1196
19,1,2022,4,4,1.0,4715,4715,1.0,1192
20,1,2022,4,4,1.0,2720,2720,1.0,1270
21,1,2022,4,4,1.0,2540,2540,1.0,1207
22,1,2022,4,4,1.0,2485,2485,1.0,1241
23,1,2022,4,4,1.0,3360,3360,1.0,1275
24,1,2022,4,4,1.0,3265,3265,1.0,1259
25,1,2022,4,4,1.0,4590,4590,1.0,1335
26,1,2022,4,4,1.0,3900,3900,1.0,1308
27,1,2022,4,4,1.0,2690,2690,1.0,1243
28,1,2022,4,4,1.0,3120,3120,1.0,1180
29,1,2022,4,4,1.0,2640,2640,1.0,1312
30,1,2022,4,4,1.0,3360,3360,1.0,1277
31,1,2022,4,4,1.0,3645,3645,1.0,1304
1,2,2022,5,5,1.0,3780,3780,1.0,1240
2,2,2022,5,5,1.0,4420,4420,1.0,1188
3,2,2022,5,5,1.0,3465,3465,1.0,1171
4,2,2022,5,5,1.0,3830,3830,1.0,1033
5,2,2022,5,5,1.0,4850,4850,1.0,1160
6,2,2022,5,5,1.0,4142,4142,1.0,1211
7,2,2022,5,5,1.0,3225,3225,1.0,1079
8,2,2022,5,5,1.0,4090,4090,1.0,1183
9,2,2022,5,5,1.0,3720,3720,1.0,1144
10,2,2022,5,5,1.0,3690,3690,1.0,1158
11,2,2022,5,5,1.0,4807,4807,1.0,1073
12,2,2022,5,5,1.0,3050,3050,1.0,1210
13,2,2022,5,5,1.0,3765,3765,1.0,1147
14,2,2022,5,5,1.0,5470,5470,1.0,1139
15,2,2022,5,5,1.0,4275,4275,1.0,1147
16,2,2022,5,5,1.0,4665,4665,1.0,1140
17,2,2022,5,5,1.0,4740,4740,1.0,1206
18,2,2022,5,5,1.0,4100,4100,1.0,1208
19,2,2022,5,5,1.0,3450,3450,1.0,1107
20,2,2022,5,5,1.0,4085,4085,1.0,1198
21,2,2022,5,5,1.0,4085,4085,1.0,1126
22,2,2022,5,5,1.0,5310,5310,1.0,1163
23,2,2022,5,5,1.0,5057,5057,1.0,1155
24,2,2022,5,5,1.0,3770,3770,1.0,1148
25,2,2022,5,5,1.0,2532,2532,1.0,1190
26,2,2022,5,5,1.0,3685,3685,1.0,1158
27,2,2022,5,5,1.0,3565,3565,1.0,1064
28,2,2022,5,5,1.0,5340,5340,1.0,1162
1,3,2022,6,6,1.0,4825,4825,1.0,1192
2,3,2022,6,6,1.0,6220,6220,1.0,1027
3,3,2022,6,6,1.0,4230,4230,1.0,1216
4,3,2022,6,6,1.0,5655,5655,1.0,1200
5,3,2022,6,6,1.0,5970,5970,1.0,999
6,3,2022,6,6,1.0,5160,5160,1.0,1077
7,3,2022,6,6,1.0,4900,4900,1.0,1031
8,3,2022,6,6,1.0,5445,5445,1.0,1066
9,3,2022,6,6,1.0,4295,4295,1.0,1022
10,3,2022,6,6,1.0,5390,5390,1.0,1045
11,3,2022,6,6,1.0,5030,5030,1.0,1156
12,3,2022,6,6,1.0,3815,3815,1.0,1066
13,3,2022,6,6,1.0,4185,4185,1.0,1124
14,3,2022,6,6,1.0,4505,4505,1.0,1068
15,3,2022,6,6,1.0,4380,4380,1.0,1166
16,3,2022,6,6,1.0,5137,5137,1.0,1118
17,3,2022,6,6,1.0,4410,4410,1.0,1087
18,3,2022,6,6,1.0,4030,4030,1.0,1002
