Day,Month,Year,Deliveries Fulfilled,Deliveries Available,Delivery Completion Ratio,Deliveries Value,Available Value,Monetary Value Ratio,Moves Remaining
1,1,2022,4,4,1.0,3510,3510,1.0,1175
2,1,2022,4,4,1.0,3305,3305,1.0,1246
3,1,2022,4,4,1.0,3900,3900,1.0,1233
4,1,2022,4,4,1.0,3715,3715,1.0,1251
5,1,2022,4,4,1.0,3320,3320,1.0,1272
6,1,2022,4,4,1.0,3095,3095,1.0,1129
7,1,2022,4,4,1.0,2155,2155,1.0,1164
8,1,2022,4,4,1.0,3035,3035,1.0,1275
9,1,2022,4,4,1.0,2512,2512,1.0,1196
10,1,2022,4,4,1.0,4220,4220,1.0,1313
11,1,2022,4,4,1.0,2720,2720,1.0,1181
12,1,2022,4,4,1.0,3120,3120,1.0,1275
13,1,2022,4,4,1.0,2842,2842,1.0,1177
14,1,2022,4,4,1.0,2375,2375,1.0,1189
15,1,2022,4,4,1.0,2165,2165,1.0,1226
16,1,2022,4,4,1.0,4080,4080,1.0,1237
17,1,2022,4,4,1.0,3275,3275,1.0,1238
18,1,2022,4,4,1.0,2522,2522,1.0,1149
19,1,2022,4,4,1.0,4715,4715,1.0,1145
20,1,2022,4,4,1.0,2720,2720,1.0,1270
21,1,2022,4,4,1.0,2540,2540,1.0,1155
22,1,2022,4,4,1.0,2485,2485,1.0,1217
23,1,2022,4,4,1.0,3360,3360,1.0,1277
24,1,2022,4,4,1.0,3265,3265,1.0,1222
25,1,2022,4,4,1.0,4590,4590,1.0,1337
26,1,2022,4,4,1.0,3900,3900,1.0,1309
27,1,2022,4,4,1.0,2690,2690,1.0,1246
28,1,2022,4,4,1.0,3120,3120,1.0,1152
29,1,2022,4,4,1.0,2640,2640,1.0,1289
30,1,2022,4,4,1.0,3360,3360,1.0,1263
31,1,2022,4,4,1.0,3645,3645,1.0,1280
1,2,2022,5,5,1.0,3780,3780,1.0,1239
2,2,2022,5,5,1.0,4420,4420,1.0,1133
3,2,2022,5,5,1.0,3465,3465,1.0,1136
4,2,2022,5,5,1.0,3830,3830,1.0,945
5,2,2022,5,5,1.0,4850,4850,1.0,1161
6,2,2022,5,5,1.0,4142,4142,1.0,1205
7,2,2022,5,5,1.0,3225,3225,1.0,1024
8,2,2022,5,5,1.0,4090,4090,1.0,1153
9,2,2022,5,5,1.0,3720,3720,1.0,1103
10,2,2022,5,5,1.0,3690,3690,1.0,1153
11,2,2022,5,5,1.0,4807,4807,1.0,1053
12,2,2022,5,5,1.0,3050,3050,1.0,1208
13,2,2022,5,5,1.0,3765,3765,1.0,1144
14,2,2022,5,5,1.0,5470,5470,1.0,1144
15,2,2022,5,5,1.0,4275,4275,1.0,1123
16,2,2022,5,5,1.0,4665,4665,1.0,1114
17,2,2022,5,5,1.0,4740,4740,1.0,1181
18,2,2022,5,5,1.0,4100,4100,1.0,1208
19,2,2022,5,5,1.0,3450,3450,1.0,1099
20,2,2022,5,5,1.0,4085,4085,1.0,1184
21,2,2022,5,5,1.0,4085,4085,1.0,1106
22,2,2022,5,5,1.0,5310,5310,1.0,1116
23,2,2022,5,5,1.0,5057,5057,1.0,1155
24,2,2022,5,5,1.0,3770,3770,1.0,1149
25,2,2022,5,5,1.0,2532,2532,1.0,1134
26,2,2022,5,5,1.0,3685,3685,1.0,1112
27,2,2022,5,5,1.0,3565,3565,1.0,993
28,2,2022,5,5,1.0,5340,5340,1.0,1118
1,3,2022,6,6,1.0,4825,4825,1.0,1169
2,3,2022,6,6,1.0,6220,6220,1.0,947
3,3,2022,6,6,1.0,4230,4230,1.0,1182
4,3,2022,6,6,1.0,5655,5655,1.0,1169
5,3,2022,6,6,1.0,5970,5970,1.0,942
6,3,2022,6,6,1.0,5160,5160,1.0,1050
7,3,2022,6,6,1.0,4900,4900,1.0,1003
8,3,2022,6,6,1.0,5445,5445,1.0,1047
9,3,2022,6,6,1.0,4295,4295,1.0,948
10,3,2022,6,6,1.0,5390,5390,1.0,985
11,3,2022,6,6,1.0,5030,5030,1.0,1150
12,3,2022,6,6,1.0,3815,3815,1.0,1040
13,3,2022,6,6,1.0,4185,4185,1.0,1100
14,3,2022,6,6,1.0,4505,4505,1.0,1032
15,3,2022,6,6,1.0,4380,4380,1.0,1088
16,3,2022,6,6,1.0,5137,5137,1.0,1055
17,3,2022,6,6,1.0,4410,4410,1.0,1052
18,3,2022,6,6,1.0,4030,4030,1.0,974
19,3,2022,6,6,1.0,5245,5245,1.0,1030
20,3,2022,6,6,1.0,5330,5330,1.0,1075
21,3,2022,6,6,1.0,5120,5120,1.0,945
22,3,2022,6,6,1.0,5305,5305,1.0,1111
23,3,2022,6,6,1.0,5265,5265,1.0,1074
24,3,2022,6,6,1.0,4597,4597,1.0,1010
25,3,2022,6,6,1.0,3470,3470,1.0,989
26,3,2022,6,6,1.0,4745,4745,1.0,1084
27,3,2022,6,6,1.0,4595,4595,1.0,1019
28,3,2022,6,6,1.0,4795,4795,1.0,1044
29,3,2022,6,6,1.0,4825,4825,1.0,1043
30,3,2022,6,6,1.0,4750,4750,1.0,1063
31,3,2022,6,6,1.0,5075,5075,1.0,1022
1,4,2022,7,7,1.0,6090,6090,1.0,966
2,4,2022,7,7,1.0,5940,5940,1.0,1157
3,4,2022,7,7,1.0,5875,5875,1.0,1043
4,4,2022,7,7,1.0,4545,4545,1.0,1146
5,4,2022,7,7,1.0,7450,7450,1.0,960
6,4,2022,7,7,1.0,6827,6827,1.0,980
7,4,2022,7,7,1.0,4457,4457,1.0,987
8,4,2022,7,7,1.0,5572,5572,1.0,901
9,4,2022,7,7,1.0,6705,6705,1.0,1095
10,4,2022,7,7,1.0,5225,5225,1.0,1144
11,4,2022,7,7,1.0,4470,4470,1.0,1061
12,4,2022,7,7,1.0,6275,6275,1.0,1020
13,4,2022,7,7,1.0,5360,5360,1.0,1151
14,4,2022,7,7,1.0,5560,5560,1.0,1052
15,4,2022,7,7,1.0,6780,6780,1.0,955
16,4,2022,7,7,1.0,4522,4522,1.0,1064
17,4,2022,7,7,1.0,6450,6450,1.0,1077
