Day,Month,Year,Deliveries Fulfilled,Deliveries Available,Delivery Completion Ratio,Deliveries Value,Available Value,Monetary Value Ratio,Moves Remaining
1,1,2022,4,4,1.0,3510,3510,1.0,1214
2,1,2022,4,4,1.0,3305,3305,1.0,1260
3,1,2022,4,4,1.0,3900,3900,1.0,1258
4,1,2022,4,4,1.0,3715,3715,1.0,1249
5,1,2022,4,4,1.0,3320,3320,1.0,1296
6,1,2022,4,4,1.0,3095,3095,1.0,1145
7,1,2022,4,4,1.0,2155,2155,1.0,1249
8,1,2022,4,4,1.0,3035,3035,1.0,1297
9,1,2022,4,4,1.0,2512,2512,1.0,1224
10,1,2022,4,4,1.0,4220,4220,1.0,1315
11,1,2022,4,4,1.0,2720,2720,1.0,1216
12,1,2022,4,4,1.0,3120,3120,1.0,1286
13,1,2022,4,4,1.0,2842,2842,1.0,1204
14,1,2022,4,4,1.0,2375,2375,1.0,1240
15,1,2022,4,4,1.0,2165,2165,1.0,1249
16,1,2022,4,4,1.0,4080,4080,1.0,1251
17,1,2022,4,4,1.0,3275,3275,1.0,1280
18,1,2022,4,4,1.0,2522,2522,1.0,1193
19,1,2022,4,4,1.0,4715,4715,1.0,1192
20,1,2022,4,4,1.0,2720,2720,1.0,1271
21,1,2022,4,4,1.0,2540,2540,1.0,1215
22,1,2022,4,4,1.0,2485,2485,1.0,1238
23,1,2022,4,4,1.0,3360,3360,1.0,1305
24,1,2022,4,4,1.0,3265,3265,1.0,1259
25,1,2022,4,4,1.0,4590,4590,1.0,1340
26,1,2022,4,4,1.0,3900,3900,1.0,1309
27,1,2022,4,4,1.0,2690,2690,1.0,1234
28,1,2022,4,4,1.0,3120,3120,1.0,1177
29,1,2022,4,4,1.0,2640,2640,1.0,1315
30,1,2022,4,4,1.0,3360,3360,1.0,1276
31,1,2022,4,4,1.0,3645,3645,1.0,1304
1,2,2022,5,5,1.0,3780,3780,1.0,1238
2,2,2022,5,5,1.0,4420,4420,1.0,1189
3,2,2022,5,5,1.0,3465,3465,1.0,1145
4,2,2022,5,5,1.0,3830,3830,1.0,1035
5,2,2022,5,5,1.0,4850,4850,1.0,1162
6,2,2022,5,5,1.0,4142,4142,1.0,1207
7,2,2022,5,5,1.0,3225,3225,1.0,1082
8,2,2022,5,5,1.0,4090,4090,1.0,1184
9,2,2022,5,5,1.0,3720,3720,1.0,1144
10,2,2022,5,5,1.0,3690,3690,1.0,1153
11,2,2022,5,5,1.0,4807,4807,1.0,1068
12,2,2022,5,5,1.0,3050,3050,1.0,1233
13,2,2022,5,5,1.0,3765,3765,1.0,1142
14,2,2022,5,5,1.0,5470,5470,1.0,1143
15,2,2022,5,5,1.0,4275,4275,1.0,1145
