Day,Month,Year,Deliveries Fulfilled,Deliveries Available,Delivery Completion Ratio,Deliveries Value,Available Value,Monetary Value Ratio,Moves Remaining
1,1,2022,4,4,1.0,3510,3510,1.0,1214
2,1,2022,4,4,1.0,3305,3305,1.0,1255
3,1,2022,4,4,1.0,3900,3900,1.0,1258
4,1,2022,4,4,1.0,3715,3715,1.0,1249
5,1,2022,4,4,1.0,3320,3320,1.0,1296
6,1,2022,4,4,1.0,3095,3095,1.0,1142
7,1,2022,4,4,1.0,2155,2155,1.0,1249
8,1,2022,4,4,1.0,3035,3035,1.0,1297
9,1,2022,4,4,1.0,2512,2512,1.0,1224
10,1,2022,4,4,1.0,4220,4220,1.0,1315
11,1,2022,4,4,1.0,2720,2720,1.0,1212
12,1,2022,4,4,1.0,3120,3120,1.0,1273
13,1,2022,4,4,1.0,2842,2842,1.0,1204
14,1,2022,4,4,1.0,2375,2375,1.0,1240
15,1,2022,4,4,1.0,2165,2165,1.0,1249
16,1,2022,4,4,1.0,4080,4080,1.0,1251
17,1,2022,4,4,1.0,3275,3275,1.0,1280
18,1,2022,4,4,1.0,2522,2522,1.0,1193
19,1,2022,4,4,1.0,4715,4715,1.0,1192
20,1,2022,4,4,1.0,2720,2720,1.0,1270
21,1,2022,4,4,1.0,2540,2540,1.0,1215
22,1,2022,4,4,1.0,2485,2485,1.0,1242
23,1,2022,4,4,1.0,3360,3360,1.0,1305
24,1,2022,4,4,1.0,3265,3265,1.0,1259
25,1,2022,4,4,1.0,4590,4590,1.0,1340
26,1,2022,4,4,1.0,3900,3900,1.0,1309
27,1,2022,4,4,1.0,2690,2690,1.0,1234
28,1,2022,4,4,1.0,3120,3120,1.0,1178
29,1,2022,4,4,1.0,2640,2640,1.0,1314
30,1,2022,4,4,1.0,3360,3360,1.0,1276
31,1,2022,4,4,1.0,3645,3645,1.0,1280
1,2,2022,5,5,1.0,3780,3780,1.0,1238
2,2,2022,5,5,1.0,4420,4420,1.0,1189
3,2,2022,5,5,1.0,3465,3465,1.0,1145
4,2,2022,5,5,1.0,3830,3830,1.0,1032
5,2,2022,5,5,1.0,4850,4850,1.0,1162
6,2,2022,5,5,1.0,4142,4142,1.0,1211
7,2,2022,5,5,1.0,3225,3225,1.0,1082
8,2,2022,5,5,1.0,4090,4090,1.0,1181
9,2,2022,5,5,1.0,3720,3720,1.0,1144
10,2,2022,5,5,1.0,3690,3690,1.0,1158
11,2,2022,5,5,1.0,4807,4807,1.0,1065
12,2,2022,5,5,1.0,3050,3050,1.0,1244
13,2,2022,5,5,1.0,3765,3765,1.0,1142
14,2,2022,5,5,1.0,5470,5470,1.0,1143
15,2,2022,5,5,1.0,4275,4275,1.0,1145
16,2,2022,5,5,1.0,4665,4665,1.0,1138
17,2,2022,5,5,1.0,4740,4740,1.0,1187
18,2,2022,5,5,1.0,4100,4100,1.0,1208
19,2,2022,5,5,1.0,3450,3450,1.0,1127
20,2,2022,5,5,1.0,4085,4085,1.0,1198
21,2,2022,5,5,1.0,4085,4085,1.0,1126
22,2,2022,5,5,1.0,5310,5310,1.0,1163
23,2,2022,5,5,1.0,5057,5057,1.0,1155
24,2,2022,5,5,1.0,3770,3770,1.0,1149
25,2,2022,5,5,1.0,2532,2532,1.0,1196
26,2,2022,5,5,1.0,3685,3685,1.0,1163
27,2,2022,5,5,1.0,3565,3565,1.0,1034
28,2,2022,5,5,1.0,5340,5340,1.0,1160
1,3,2022,6,6,1.0,4825,4825,1.0,1192
2,3,2022,6,6,1.0,6220,6220,1.0,1027
3,3,2022,6,6,1.0,4230,4230,1.0,1222
4,3,2022,6,6,1.0,5655,5655,1.0,1201
5,3,2022,6,6,1.0,5970,5970,1.0,998
6,3,2022,6,6,1.0,5160,5160,1.0,1077
7,3,2022,6,6,1.0,4900,4900,1.0,1031
8,3,2022,6,6,1.0,5445,5445,1.0,1079
9,3,2022,6,6,1.0,4295,4295,1.0,998
10,3,2022,6,6,1.0,5390,5390,1.0,1045
11,3,2022,6,6,1.0,5030,5030,1.0,1175
12,3,2022,6,6,1.0,3815,3815,1.0,1071
